Date,Monthly_Return,,S&P %
2014-02-28 00:00:00+00:00,1.17%,,4.57439
2014-03-31 00:00:00+00:00,0.58%,,0.84057
2014-04-30 00:00:00+00:00,1.06%,,0.7392
2014-05-31 00:00:00+00:00,0.63%,,2.34741
2014-06-30 00:00:00+00:00,0.62%,,2.06575
2014-07-31 00:00:00+00:00,-0.75%,,-1.37909
2014-08-31 00:00:00+00:00,1.90%,,4.0005
2014-09-30 00:00:00+00:00,0.40%,,-1.40236
2014-10-31 00:00:00+00:00,0.94%,,2.44251
2014-11-30 00:00:00+00:00,0.49%,,2.68947
2014-12-31 00:00:00+00:00,-0.31%,,-0.25191
2015-01-31 00:00:00+00:00,-0.67%,,-3.00192
2015-02-28 00:00:00+00:00,2.18%,,5.74715
2015-03-31 00:00:00+00:00,0.85%,,-1.58145
2015-04-30 00:00:00+00:00,-0.37%,,0.95932
2015-05-31 00:00:00+00:00,1.18%,,1.28593
2015-06-30 00:00:00+00:00,-1.48%,,-1.93581
2015-07-31 00:00:00+00:00,2.07%,,2.09512
2015-08-31 00:00:00+00:00,-0.77%,,-6.03338
2015-09-30 00:00:00+00:00,-0.41%,,-2.47435
2015-10-31 00:00:00+00:00,3.50%,,8.43541
2015-11-30 00:00:00+00:00,1.43%,,0.29738
2015-12-31 00:00:00+00:00,0.88%,,-1.57719
2016-01-31 00:00:00+00:00,1.79%,,-4.96242
2016-02-29 00:00:00+00:00,-1.11%,,-0.13492
2016-03-31 00:00:00+00:00,3.61%,,6.78382
2016-04-30 00:00:00+00:00,-0.12%,,0.38767
2016-05-31 00:00:00+00:00,1.56%,,1.79582
2016-06-30 00:00:00+00:00,0.61%,,0.25911
2016-07-31 00:00:00+00:00,1.28%,,3.68687
2016-08-31 00:00:00+00:00,1.19%,,0.1404
2016-09-30 00:00:00+00:00,0.11%,,0.01891
2016-10-31 00:00:00+00:00,-0.50%,,-1.82412
2016-11-30 00:00:00+00:00,0.34%,,3.70349
2016-12-31 00:00:00+00:00,1.20%,,1.97661
2017-01-31 00:00:00+00:00,-0.13%,,1.89664
2017-02-28 00:00:00+00:00,2.22%,,3.97059
2017-03-31 00:00:00+00:00,0.56%,,0.11665
2017-04-30 00:00:00+00:00,-0.47%,,1.02699
2017-05-31 00:00:00+00:00,0.60%,,1.40728
2017-06-30 00:00:00+00:00,0.40%,,0.62415
2017-07-31 00:00:00+00:00,-0.17%,,2.05627
2017-08-31 00:00:00+00:00,0.09%,,0.30612
2017-09-30 00:00:00+00:00,3.59%,,2.06282
2017-10-31 00:00:00+00:00,2.15%,,2.33354
2017-11-30 00:00:00+00:00,1.78%,,3.06698
2017-12-31 00:00:00+00:00,0.99%,,1.11187
2018-01-31 00:00:00+00:00,2.53%,,5.7254
2018-02-28 00:00:00+00:00,-2.63%,,-3.68571
2018-03-31 00:00:00+00:00,-0.68%,,-2.54133
2018-04-30 00:00:00+00:00,0.48%,,0.38371
2018-05-31 00:00:00+00:00,0.89%,,2.4082
2018-06-30 00:00:00+00:00,1.26%,,0.61549
2018-07-31 00:00:00+00:00,3.60%,,3.72136
2018-08-31 00:00:00+00:00,0.67%,,3.25853
2018-09-30 00:00:00+00:00,1.88%,,0.56919
2018-10-31 00:00:00+00:00,-2.73%,,-6.83502
2018-11-30 00:00:00+00:00,2.30%,,2.03784
2018-12-31 00:00:00+00:00,-0.53%,,-9.02909
2019-01-31 00:00:00+00:00,2.76%,,8.01358
2019-02-28 00:00:00+00:00,1.94%,,3.21082
2019-03-31 00:00:00+00:00,0.61%,,1.94317
2019-04-30 00:00:00+00:00,2.06%,,4.04897
2019-05-31 00:00:00+00:00,-3.10%,,-6.35482
2019-06-30 00:00:00+00:00,4.13%,,7.04763
2019-07-31 00:00:00+00:00,0.93%,,1.43721
2019-08-31 00:00:00+00:00,0.54%,,-1.58403
2019-09-30 00:00:00+00:00,1.55%,,1.87104
2019-10-31 00:00:00+00:00,1.89%,,2.16597
2019-11-30 00:00:00+00:00,0.48%,,3.62989
2019-12-31 00:00:00+00:00,2.56%,,3.0182
2020-01-31 00:00:00+00:00,-0.02%,,-0.03921
2020-02-29 00:00:00+00:00,-1.13%,,-8.23192
2020-03-31 00:00:00+00:00,-9.12%,,-12.35129
2020-04-30 00:00:00+00:00,10.79%,,12.81938
2020-05-31 00:00:00+00:00,4.42%,,4.76281
2020-06-30 00:00:00+00:00,2.04%,,1.98872
2020-07-31 00:00:00+00:00,2.66%,,5.63851
2020-08-31 00:00:00+00:00,3.44%,,7.18805
2020-09-30 00:00:00+00:00,-0.38%,,-3.79967
2020-10-31 00:00:00+00:00,-0.71%,,-2.65938
2020-11-30 00:00:00+00:00,9.45%,,10.9464
2020-12-31 00:00:00+00:00,1.96%,,3.84482
2021-01-31 00:00:00+00:00,-0.79%,,-1.00958
2021-02-28 00:00:00+00:00,2.19%,,2.75749
2021-03-31 00:00:00+00:00,5.04%,,4.37957
2021-04-30 00:00:00+00:00,1.43%,,5.33688
2021-05-31 00:00:00+00:00,-0.18%,,0.69844
2021-06-30 00:00:00+00:00,-0.86%,,2.33448
2021-07-31 00:00:00+00:00,1.17%,,2.37549
2021-08-31 00:00:00+00:00,1.19%,,3.04057
2021-09-30 00:00:00+00:00,-1.79%,,-4.65098
2021-10-31 00:00:00+00:00,2.74%,,7.00618
2021-11-30 00:00:00+00:00,-0.67%,,-0.6929
2021-12-31 00:00:00+00:00,4.91%,,4.48161
2022-01-31 00:00:00+00:00,-1.68%,,-5.1747
2022-02-28 00:00:00+00:00,-0.69%,,-2.99415
2022-03-31 00:00:00+00:00,3.31%,,3.71295
2022-04-30 00:00:00+00:00,-3.18%,,-8.72018
2022-05-31 00:00:00+00:00,5.24%,,0.18346
2022-06-30 00:00:00+00:00,-3.41%,,-8.25438
2022-07-31 00:00:00+00:00,3.00%,,9.22045
2022-08-31 00:00:00+00:00,-1.85%,,-4.07819
2022-09-30 00:00:00+00:00,0.39%,,-9.20986
2022-10-31 00:00:00+00:00,4.06%,,8.09614
2022-11-30 00:00:00+00:00,6.27%,,5.5884
2022-12-31 00:00:00+00:00,-1.36%,,-5.76145
2023-01-31 00:00:00+00:00,2.01%,,6.28339
2023-02-28 00:00:00+00:00,-1.36%,,-2.4399
2023-03-31 00:00:00+00:00,0.48%,,3.67142
2023-04-30 00:00:00+00:00,0.68%,,1.56085
2023-05-31 00:00:00+00:00,-2.00%,,0.43467
2023-06-30 00:00:00+00:00,2.77%,,6.60753
2023-07-31 00:00:00+00:00,1.49%,,3.2125
2023-08-31 00:00:00+00:00,0.17%,,-1.59215
2023-09-30 00:00:00+00:00,-1.27%,,-4.76779
2023-10-31 00:00:00+00:00,-2.57%,,-2.10265
2023-11-30 00:00:00+00:00,3.25%,,9.13254
2023-12-31 00:00:00+00:00,2.50%,,4.54306
2024-01-31 00:00:00+00:00,2.04%,,1.68043
2024-02-29 00:00:00+00:00,3.39%,,5.33956
2024-03-31 00:00:00+00:00,2.67%,,3.21746
2024-04-30 00:00:00+00:00,-1.71%,,-4.08446
2024-05-31 00:00:00+00:00,0.93%,,4.95847
2024-06-30 00:00:00+00:00,0.86%,,3.58821
2024-07-31 00:00:00+00:00,1.77%,,1.21724
2024-08-31 00:00:00+00:00,2.18%,,2.42567
2024-09-30 00:00:00+00:00,2.25%,,2.13571
2024-10-31 00:00:00+00:00,0.59%,,-0.90686